SITENAME|LNG|LAT|METHOD|MODEL|VARS|WEIGHTS|NDIVISIONS|DIRECTION|GROWINGSEASON|ROTATION|PERIOD|ZONES|RESOLUTION|SCENARIO|OUTFILE|THRESHOLD

PAN_1375893131875|-79.496|9.056|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,pan]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/PAN_1375893131875/|0.0
PAN_1375893222501|-80.345|8.794|ccafs|[current,ensemble]|[tmean,prec]|[0.5,0.5]|[12,12]|forward|1:12|tmean|[1960_1990,2020_2049]|[pan,pan]|[30s,30s]|[baseline,a1b]|/var/www/analogues/outputs/PAN_1375893222501/|0.15
PAN_1375893380567|-79.496|9.056|ccafs|[current,current]|[prec]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,pan]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/PAN_1375893380567/|0.0
PAN_1375893493538|-79.496|9.056|ccafs|[ensemble,current]|[prec]|[1]|[12,12]|backward|1:12|none|[2020_2049,1960_1990]|[pan,pan]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/PAN_1375893493538/|0.0
PAN_1375893643147|-79.496|9.056|ccafs|[ensemble,current]|[tmean]|[1]|[12,12]|backward|1:12|none|[2020_2049,1960_1990]|[pan,pan]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/PAN_1375893643147/|0.0
NIC_1375893828793|-79.496|9.056|ccafs|[ensemble,current]|[tmean]|[1]|[12,12]|backward|1:12|none|[2020_2049,1960_1990]|[pan,nic]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/NIC_1375893828793/|0.0
GLOBAL_1375893941902|-79.496|9.056|ccafs|[ensemble,current]|[tmean]|[1]|[12,12]|backward|1:12|none|[2020_2049,1960_1990]|[global,global]|[2_5min,2_5min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1375893941902/|0.0
PAN_1375895226655|-80.18|8.751|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:6|none|[1960_1990,1960_1990]|[pan,pan]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/PAN_1375895226655/|0.0
GLOBAL_1375896664517|32.127|1.124|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[uga,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1375896664517/|0.0
GLOBAL_1375896780381|32.127|1.124|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[uga,global]|[30s,2_5min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1375896780381/|0.35
GLOBAL_1375897155128|12.656|18.646|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1375897155128/|0.0
